corner_label,pnp_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
typ,typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.91023e-01,1.41232e-01,2.13569e+00,8.72705e-01,8.72544e-01,1.19703e+00,1.74129e-03,2.13585e-09,0.000161
typ,typ,mos_tt,res_typ,-40,3.30,10u,PASS,3.23360e-01,1.56642e-01,2.46587e+00,8.72727e-01,8.72612e-01,1.19745e+00,1.93600e-03,2.46597e-09,0.000115
typ,typ,mos_tt,res_typ,-40,3.63,10u,PASS,3.55697e-01,1.71916e-01,2.79607e+00,8.72745e-01,8.72667e-01,1.19777e+00,2.13099e-03,2.79613e-09,7.8e-05
typ,typ,mos_tt,res_typ,27,2.97,10u,PASS,2.91849e-01,1.41190e-01,2.16688e+00,7.80493e-01,7.80217e-01,1.19644e+00,3.76219e-03,2.16693e-09,0.000276
typ,typ,mos_tt,res_typ,27,3.30,10u,PASS,3.24276e-01,1.54773e-01,2.49710e+00,7.80514e-01,7.80281e-01,1.19687e+00,4.18836e-03,2.49707e-09,0.000233
typ,typ,mos_tt,res_typ,27,3.63,10u,PASS,3.56701e-01,1.65459e-01,2.82733e+00,7.80528e-01,7.80323e-01,1.19712e+00,4.61658e-03,2.82737e-09,0.000205
typ,typ,mos_tt,res_typ,125,2.97,10u,PASS,2.83430e-01,7.30145e-02,2.22965e+00,6.40864e-01,6.40402e-01,1.19054e+00,1.18885e-02,2.26603e-09,0.000462
typ,typ,mos_tt,res_typ,125,3.30,10u,PASS,2.88204e-01,5.49484e-02,2.55991e+00,6.40880e-01,6.40450e-01,1.19093e+00,1.33335e-02,2.60133e-09,0.00043
typ,typ,mos_tt,res_typ,125,3.63,10u,PASS,2.68751e-01,5.04263e-02,2.89023e+00,6.40882e-01,6.40455e-01,1.19097e+00,1.48110e-02,2.93761e-09,0.000427
bcs,bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.92506e-01,1.41510e-01,2.18300e+00,8.75005e-01,8.74835e-01,1.19921e+00,1.54120e-03,2.18313e-09,0.00017
bcs,bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,3.25008e-01,1.56556e-01,2.51319e+00,8.75026e-01,8.74899e-01,1.19961e+00,1.71317e-03,2.51325e-09,0.000127
bcs,bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,3.57508e-01,1.70575e-01,2.84340e+00,8.75043e-01,8.74950e-01,1.19991e+00,1.88529e-03,2.84329e-09,9.3e-05
bcs,bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.93119e-01,1.33966e-01,2.21161e+00,7.82575e-01,7.82285e-01,1.19828e+00,3.12452e-03,2.21196e-09,0.00029
bcs,bcs,mos_ff,res_bcs,27,3.30,10u,PASS,3.25680e-01,1.36907e-01,2.54182e+00,7.82595e-01,7.82344e-01,1.19869e+00,3.47579e-03,2.54221e-09,0.000251
