corner_label,hbt_section,mos_section,res_section,temp_c,vdd_v,msense_w,status,det_early_v,fb_early_v,fb_final_v,sns1_final_v,sns2_final_v,vref_final_v,det_final_v,i_mkfb_final_a,dvsns_final_v
typ,hbt_typ,mos_tt,res_typ,-40,2.97,10u,PASS,2.91008e-01,1.40399e-01,2.13482e+00,7.85016e-01,7.84854e-01,1.04437e+00,3.50283e-03,2.13515e-09,0.000162
typ,hbt_typ,mos_tt,res_typ,-40,3.30,10u,PASS,3.23344e-01,1.55716e-01,2.46500e+00,7.85038e-01,7.84920e-01,1.04469e+00,3.90105e-03,2.46528e-09,0.000118
typ,hbt_typ,mos_tt,res_typ,-40,3.63,10u,PASS,3.55680e-01,1.70896e-01,2.79520e+00,7.85056e-01,7.84974e-01,1.04494e+00,4.30110e-03,2.79516e-09,8.2e-05
typ,hbt_typ,mos_tt,res_typ,27,2.97,10u,PASS,2.91838e-01,1.40359e-01,2.16431e+00,7.08661e-01,7.08377e-01,1.04582e+00,7.58369e-03,2.16434e-09,0.000284
typ,hbt_typ,mos_tt,res_typ,27,3.30,10u,PASS,3.24265e-01,1.53850e-01,2.49452e+00,7.08681e-01,7.08440e-01,1.04615e+00,8.48234e-03,2.49444e-09,0.000241
typ,hbt_typ,mos_tt,res_typ,27,3.63,10u,PASS,3.56689e-01,1.64446e-01,2.82476e+00,7.08695e-01,7.08481e-01,1.04633e+00,9.39505e-03,2.82475e-09,0.000214
typ,hbt_typ,mos_tt,res_typ,125,2.97,10u,PASS,2.89775e-01,6.75694e-02,2.22346e+00,5.90431e-01,5.89949e-01,1.04442e+00,2.26175e-02,2.26751e-09,0.000482
typ,hbt_typ,mos_tt,res_typ,125,3.30,10u,PASS,3.00373e-01,4.45170e-02,2.55372e+00,5.90446e-01,5.89996e-01,1.04470e+00,2.58337e-02,2.60555e-09,0.00045
typ,hbt_typ,mos_tt,res_typ,125,3.63,10u,PASS,2.86003e-01,3.36487e-02,2.88405e+00,5.90447e-01,5.89999e-01,1.04469e+00,2.92810e-02,2.94556e-09,0.000448
bcs,hbt_bcs,mos_ff,res_bcs,-40,2.97,10u,PASS,2.92495e-01,1.40627e-01,2.18218e+00,7.82420e-01,7.82248e-01,1.04149e+00,2.67217e-03,2.18241e-09,0.000172
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.30,10u,PASS,3.24995e-01,1.55586e-01,2.51237e+00,7.82441e-01,7.82312e-01,1.04180e+00,2.97267e-03,2.51237e-09,0.000129
bcs,hbt_bcs,mos_ff,res_bcs,-40,3.63,10u,PASS,3.57495e-01,1.69508e-01,2.84257e+00,7.82458e-01,7.82363e-01,1.04203e+00,3.27405e-03,2.84248e-09,9.5e-05
bcs,hbt_bcs,mos_ff,res_bcs,27,2.97,10u,PASS,2.93116e-01,1.33100e-01,2.20903e+00,7.05295e-01,7.04996e-01,1.04211e+00,5.36591e-03,2.20946e-09,0.000299
bcs,hbt_bcs,mos_ff,res_bcs,27,3.30,10u,PASS,3.25679e-01,1.35953e-01,2.53925e+00,7.05314e-01,7.05055e-01,1.04242e+00,5.98099e-03,2.53962e-09,0.000259
bcs,hbt_bcs,mos_ff,res_bcs,27,3.63,10u,PASS,3.58238e-01,1.21257e-01,2.86950e+00,7.05326e-01,7.05091e-01,1.04258e+00,6.60080e-03,2.87022e-09,0.000235
bcs,hbt_bcs,mos_ff,res_bcs,125,2.97,10u,PASS,2.30231e-01,2.13541e-02,2.26389e+00,5.85916e-01,5.85409e-01,1.03948e+00,1.44743e-02,2.40157e-09,0.000507
bcs,hbt_bcs,mos_ff,res_bcs,125,3.30,10u,PASS,2.04146e-01,2.95076e-02,2.59416e+00,5.85929e-01,5.85450e-01,1.03973e+00,1.62684e-02,2.75232e-09,0.000479
bcs,hbt_bcs,mos_ff,res_bcs,125,3.63,10u,PASS,1.45485e-01,4.97398e-02,2.92451e+00,5.85927e-01,5.85445e-01,1.03968e+00,1.81124e-02,3.10707e-09,0.000482
wcs,hbt_wcs,mos_ss,res_wcs,-40,2.97,10u,PASS,2.89528e-01,1.39999e-01,2.08649e+00,7.89226e-01,7.89070e-01,1.04881e+00,5.93988e-03,2.08678e-09,0.000156
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.30,10u,PASS,3.21699e-01,1.55307e-01,2.41667e+00,7.89249e-01,7.89140e-01,1.04915e+00,6.64138e-03,2.41632e-09,0.000109
wcs,hbt_wcs,mos_ss,res_wcs,-40,3.63,10u,PASS,3.53871e-01,1.70559e-01,2.74687e+00,7.89267e-01,7.89197e-01,1.04941e+00,7.35447e-03,2.74727e-09,7e-05
wcs,hbt_wcs,mos_ss,res_wcs,27,2.97,10u,PASS,2.90561e-01,1.41127e-01,2.11837e+00,7.14125e-01,7.13851e-01,1.05157e+00,1.48118e-02,2.11837e-09,0.000274
wcs,hbt_wcs,mos_ss,res_wcs,27,3.30,10u,PASS,3.22847e-01,1.56255e-01,2.44858e+00,7.14147e-01,7.13919e-01,1.05191e+00,1.68269e-02,2.44858e-09,0.000228
wcs,hbt_wcs,mos_ss,res_wcs,27,3.63,10u,PASS,3.55133e-01,1.70874e-01,2.77881e+00,7.14162e-01,7.13964e-01,1.05212e+00,1.89541e-02,2.77891e-09,0.000198
wcs,hbt_wcs,mos_ss,res_wcs,125,2.97,10u,PASS,2.91762e-01,1.26932e-01,2.18140e+00,5.97767e-01,5.97305e-01,1.05211e+00,5.79940e-02,2.20519e-09,0.000462
wcs,hbt_wcs,mos_ss,res_wcs,125,3.30,10u,PASS,3.24166e-01,1.22061e-01,2.51166e+00,5.97785e-01,5.97359e-01,1.05243e+00,7.55201e-02,2.54808e-09,0.000426
wcs,hbt_wcs,mos_ss,res_wcs,125,3.63,10u,PASS,3.56280e-01,1.00708e-01,2.84197e+00,5.97789e-01,5.97371e-01,1.05246e+00,1.04693e-01,2.91193e-09,0.000418
sf,hbt_typ,mos_sf,res_typ,-40,2.97,10u,PASS,2.91006e-01,1.40428e-01,2.16284e+00,7.85020e-01,7.84864e-01,1.04441e+00,5.06472e-03,2.16277e-09,0.000156
sf,hbt_typ,mos_sf,res_typ,-40,3.30,10u,PASS,3.23342e-01,1.55775e-01,2.49303e+00,7.85041e-01,7.84928e-01,1.04472e+00,5.65214e-03,2.49302e-09,0.000113
sf,hbt_typ,mos_sf,res_typ,-40,3.63,10u,PASS,3.55677e-01,1.71046e-01,2.82323e+00,7.85057e-01,7.84979e-01,1.04495e+00,6.24508e-03,2.82291e-09,7.8e-05
sf,hbt_typ,mos_sf,res_typ,27,2.97,10u,PASS,2.91838e-01,1.41406e-01,2.19223e+00,7.08665e-01,7.08390e-01,1.04587e+00,1.18931e-02,2.19218e-09,0.000275
sf,hbt_typ,mos_sf,res_typ,27,3.30,10u,PASS,3.24265e-01,1.56170e-01,2.52245e+00,7.08685e-01,7.08450e-01,1.04619e+00,1.34019e-02,2.52253e-09,0.000235
sf,hbt_typ,mos_sf,res_typ,27,3.63,10u,PASS,3.56692e-01,1.69757e-01,2.85269e+00,7.08697e-01,7.08488e-01,1.04635e+00,1.49616e-02,2.85282e-09,0.000209
sf,hbt_typ,mos_sf,res_typ,125,2.97,10u,PASS,2.92192e-01,1.20261e-01,2.25121e+00,5.90436e-01,5.89964e-01,1.04448e+00,4.21350e-02,2.28518e-09,0.000472
sf,hbt_typ,mos_sf,res_typ,125,3.30,10u,PASS,3.19623e-01,1.01310e-01,2.58148e+00,5.90450e-01,5.90007e-01,1.04474e+00,5.08013e-02,2.62570e-09,0.000443
sf,hbt_typ,mos_sf,res_typ,125,3.63,10u,PASS,3.28005e-01,7.54105e-02,2.91182e+00,5.90449e-01,5.90006e-01,1.04471e+00,6.18009e-02,2.97220e-09,0.000443
fs,hbt_typ,mos_fs,res_typ,-40,2.97,10u,PASS,2.91010e-01,1.40341e-01,2.10681e+00,7.85013e-01,7.84842e-01,1.04433e+00,2.56212e-03,2.10661e-09,0.000171
fs,hbt_typ,mos_fs,res_typ,-40,3.30,10u,PASS,3.23346e-01,1.55565e-01,2.43699e+00,7.85035e-01,7.84912e-01,1.04466e+00,2.85076e-03,2.43729e-09,0.000123
fs,hbt_typ,mos_fs,res_typ,-40,3.63,10u,PASS,3.55681e-01,1.70453e-01,2.76719e+00,7.85054e-01,7.84968e-01,1.04492e+00,3.13999e-03,2.76694e-09,8.6e-05
fs,hbt_typ,mos_fs,res_typ,27,2.97,10u,PASS,2.91837e-01,1.38010e-01,2.13640e+00,7.08656e-01,7.08362e-01,1.04576e+00,5.26259e-03,2.13645e-09,0.000294
fs,hbt_typ,mos_fs,res_typ,27,3.30,10u,PASS,3.24261e-01,1.48427e-01,2.46661e+00,7.08678e-01,7.08429e-01,1.04610e+00,5.86833e-03,2.46666e-09,0.000249
fs,hbt_typ,mos_fs,res_typ,27,3.63,10u,PASS,3.56680e-01,1.51713e-01,2.79685e+00,7.08692e-01,7.08473e-01,1.04630e+00,6.47941e-03,2.79725e-09,0.000219
fs,hbt_typ,mos_fs,res_typ,125,2.97,10u,PASS,2.78461e-01,2.19827e-02,2.19570e+00,5.90425e-01,5.89932e-01,1.04435e+00,1.44584e-02,2.26689e-09,0.000493
fs,hbt_typ,mos_fs,res_typ,125,3.30,10u,PASS,2.65080e-01,1.67962e-02,2.52595e+00,5.90442e-01,5.89984e-01,1.04466e+00,1.62774e-02,2.60767e-09,0.000458
fs,hbt_typ,mos_fs,res_typ,125,3.63,10u,PASS,2.32230e-01,2.55397e-02,2.85628e+00,5.90445e-01,5.89992e-01,1.04467e+00,1.81545e-02,2.95047e-09,0.000453
